SPECTER NATIONAL GROUND RUNTIME VISUAL AUDIT
========================================================================
DATA_SHA256 9eca9e739fc0861509f7d7ee2c09042e2909f60fe9629daca173ef535cdc751d
ART_SHA256 db165043b149aaf956a4daf094eabd60f1a4177feef05de7d100e97f14f07f92
DATA_FILES 2800 ART_FILES 4391

Country | Slot | Unit | Object | Model | Texture closure | Weapon bone compatibility | Status
SouthAfrica | 4 IFV | Ratel | SouthAfricaVehicleRatel | LSFmihuan | OK | OK | VISUAL_OK
SouthAfrica | 5 APC | Casspir | SouthAfricaVehicleCasspir | ZA_US_M1126 | OK | OK | VISUAL_OK
SouthAfrica | 6 SHORAD | Ystervark | SouthAfricaVehicleYstervark | ZA_US_M6 | OK | OK | VISUAL_OK
SouthAfrica | 7 Mobile SAM | Cactus | SouthAfricaVehicleCactus | ZA_Irq_Roland3k | OK | OK | VISUAL_OK
SouthAfrica | 8 Radar | Thutlwa | SouthAfricaVehicleThutlwa | ZA_NAT_TRML | OK | OK | VISUAL_OK
SouthAfrica | 9 MLRS | Valkiri | SouthAfricaVehicleValkiri | ZA_LSFBM21 | OK | OK | VISUAL_OK
SouthAfrica | 10 Ballistic/Cruise TEL | Bateleur | SouthAfricaVehicleBateleur | ZA_US_M270 | OK | OK | VISUAL_OK
SouthAfrica | 11 SPA | G6 Rhino | SouthAfricaVehicleG6 | ZA_LSFG6R | OK | OK | VISUAL_OK
SouthAfrica | 12 AT Vehicle | Ratel ZT3 | SouthAfricaVehicleZT3 | ZA_US_M1128 | OK | OK | VISUAL_OK
SouthAfrica | 13 Engineer | Olifant ARV | SouthAfricaVehicleARV | ZA_Irq_VT72B | OK | OK | VISUAL_OK
SouthAfrica | 14 Special | Rooikat 76 | SouthAfricaVehicleRooikat76 | LSFshanmao | OK | OK | VISUAL_OK

STATUS_COUNTS {'VISUAL_OK': 238}
VISIBLE_DEFAULT 238/238
TEXTURE_CLOSURE 238/238
WEAPON_BONE 238/238
ERRORS 0
AUDIT_OK

------------------------------------------------------------------------
REPAIRS APPLIED (pre-repair packed failures)
------------------------------------------------------------------------
WAR_FACTORY_BUILD_FIXED:
Germany, France, Britain, Italy
  Overlay CommandSet_* last-wins aliases were slot-14 Sell only.
  Restored the live 14-slot national War Factory CommandSet.

INVISIBLE_UNITS_FIXED (missing W3D textures injected from New Donor / packed aliases):
JapanVehicleType12          AGMZJP88       JapTY81M1.dds JapTY81M2.dds IN02.TGA
JapanVehicleType12Btry      AGMZJP88       same
JapanVehicleType99          LSFJP99        JPTANK.tga 90_T.tga JPTank_Headlights.TGA
FranceVehicleMistral        LSFAMX30SA     Treads.dds
FranceVehicleCaesar         LSFkaisa       CWCruUral.dds
SwedenVehicleGiraffe        ARTHUR         avtreads.dds
SaudiArabiaTankM1A2         M1A2sudarb     USBarracksDesert.dds
SaudiArabiaVehiclePatriot   pac3_sudarb    pac_3_gdghtrsud.tga
SaudiArabiaVehiclePatriotBtry pac3_sudarb  pac_3_gdghtrsud.tga
UAEVehiclePatriot           ABPatriot      ABNPatriot02.dds
SouthAfricaVehicleRooikat   LSFshanmao     CWCusHumvee.dds
SouthAfricaVehicleRatel     LSFmihuan      CWCusHumvee.dds
SouthAfricaVehicleRooikat76 LSFshanmao     CWCusHumvee.dds

BROKEN_WEAPONS_FIXED:
GermanyVehicleIRIST   Prerequisites StrategyCenter+SCIENCE_Rank3+NatoAirdefenseNetwork -> GermanyWarFactory; added CAN_ATTACK
SwedenVehicleIRIST    same pattern -> SwedenWarFactory; added CAN_ATTACK
FranceVehicleVBCI     Prerequisites FranceStrategyCenter+SCIENCE_Rank5 -> FranceWarFactory
FranceVehicleCaesar   Prerequisites FranceStrategyCenter+SCIENCE_Rank3 -> FranceWarFactory
221 objects           WeaponFireFXBone/LaunchBone/MuzzleFlash/Turret remapped onto real W3D pivot names

DONOR_VISUALS_REPLACED:
none (no Model= W3D swaps; missing textures were injected under the names the existing W3Ds already reference)

PROTECTED_FACTIONS: UNCHANGED
AIRFIELD_COMMANDSETS: 35 resolved
COMMANDSET.INI: CRLF-only, 0 LF-only, 0 bare CR, 0 glued End+CommandSet
